model,MAE,RMSE,Median_AE,R2,Explained_Variance
Gradient Boosting,8.694097316320995,11.540710984956352,6.562910618429456,0.8139086669060092,0.8141410673488048
Tuned Random Forest,8.98233321743602,11.944639604536292,6.827438853914186,0.8006541870349482,0.8009967329401022
Random Forest,9.036408644128091,11.992759664133422,6.884909777786277,0.7990447865155224,0.7993728640380315
